image_name; comment_number; comment;translations;captions
1000919630.jpg;0; A man sits in a chair while holding a large stuffed animal of a lion .;Un hombre se sienta en una silla mientras sostiene un gran animal de peluche de un león.;Un hombre se sienta en una silla mientras sostiene un gran animal de peluche de un león.
1001545525.jpg;0; Two men in Germany jumping over a rail at the same time without shirts .;Dos hombres en Alemania saltando sobre una barandilla al mismo tiempo sin camisas.;Dos hombres en Alemania saltando sobre una barandilla al mismo tiempo sin camisas.
1001773457.jpg;0; A black dog and a white dog with brown spots are staring at each other in the street .;Un perro negro y un perro blanco con manchas marrones se miran el uno al otro en la calle.;Un perro negro y un perro blanco con manchas marrones se miran el uno al otro en la calle.
1003420127.jpg;0; A group of adults , inside a home , sitting on chairs arranged in a circle , playing a type of musical instruments .;Un grupo de adultos, dentro de una casa, sentados en sillas dispuestas en un círculo, tocando un tipo de instrumentos musicales.;Un grupo de adultos, dentro de una casa, sentados en sillas dispuestas en un círculo, tocando un tipo de instrumentos musicales.
1005216151.jpg;0; A man in a white t-shirt looks toward the camera surrounded by a crowd near a metro station .;Un hombre en una camiseta blanca mira hacia la cámara rodeada por una multitud cerca de una estación de metro .;Un hombre en una camiseta blanca mira hacia la cámara rodeada por una multitud cerca de una estación de metro .
1007320043.jpg;0; A small child grips onto the red ropes at the playground .;Un niño pequeño se agarra a las cuerdas rojas en el parque infantil .;Un niño pequeño se agarra a las cuerdas rojas en el parque infantil .
1009434119.jpg;0; A black and white dog is running in a grassy garden surrounded by a white fence .;Un perro blanco y negro corre en un jardín herboso rodeado de una cerca blanca.;Un perro blanco y negro corre en un jardín herboso rodeado de una cerca blanca.
101001624.jpg;0;" The "" white out "" conditions of snow on the ground seem to almost obliverate the details of a man dressed for the cold weather in a heavy jacket and red hat riding a bicycle in a suburban neighborhood .";"Las condiciones ""blancas"" de nieve en el suelo parecen casi obviar los detalles de un hombre vestido para el frío en una chaqueta pesada y sombrero rojo montando una bicicleta en un barrio suburbano.";"Las condiciones ""blancas"" de nieve en el suelo parecen casi obviar los detalles de un hombre vestido para el frío en una chaqueta pesada y sombrero rojo montando una bicicleta en un barrio suburbano."
101093029.jpg;0; A person in tan pants is inside a silver mobile object while people watch .;Una persona en pantalones bronceados está dentro de un objeto móvil plateado mientras la gente mira.;Una persona en pantalones bronceados está dentro de un objeto móvil plateado mientras la gente mira.
101093045.jpg;0; A man in black approaches a strange silver object containing a person , while many onlookers observe from behind a roped off barrier .;Un hombre de negro se acerca a un extraño objeto de plata que contiene una persona, mientras que muchos espectadores observan desde detrás de una barrera acordonada.;Un hombre de negro se acerca a un extraño objeto de plata que contiene una persona, mientras que muchos espectadores observan desde detrás de una barrera acordonada.
1011572216.jpg;0; bride and groom walking side by side out of focus on pathway next to brick building .;novia y novio caminando lado a lado fuera de foco en el camino junto a la construcción de ladrillos.;novia y novio caminando lado a lado fuera de foco en el camino junto a la construcción de ladrillos.
101262930.jpg;0; Two asian or spanish people , a woman and a man , sitting together in front of a glass window as cars pass .;Dos personas asiáticas o españolas , una mujer y un hombre , sentados juntos delante de una ventana de cristal a medida que pasan los coches .;Dos personas asiáticas o españolas , una mujer y un hombre , sentados juntos delante de una ventana de cristal a medida que pasan los coches .
1015712668.jpg;0; A man in a red long-sleeved shirt bikes over a body of water on a bridge .;Un hombre en una camisa roja de manga larga bicicletas sobre un cuerpo de agua en un puente.;Un hombre en una camisa roja de manga larga bicicletas sobre un cuerpo de agua en un puente.
10160966.jpg;0; A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .;Un hombre descalzo usando shorts verde oliva asando hotdogs en una pequeña parrilla de propano mientras sostiene una taza de plástico azul .;Un hombre descalzo usando shorts verde oliva asando hotdogs en una pequeña parrilla de propano mientras sostiene una taza de plástico azul .
1018057225.jpg;0; a boy in a black t-shirt and blue jeans is pushing a toy three wheeler around a small pool .;un chico en una camiseta negra y vaqueros azules está empujando un juguete de tres ruedas alrededor de una pequeña piscina.;un chico en una camiseta negra y vaqueros azules está empujando un juguete de tres ruedas alrededor de una pequeña piscina.
1022454428.jpg;0; A couple and an infant , being held by the male , sitting next to a pond with a nearby stroller .;Una pareja y un bebé, siendo sostenido por el macho, sentado junto a un estanque con un cochecito cercano.;Una pareja y un bebé, siendo sostenido por el macho, sentado junto a un estanque con un cochecito cercano.
1026792563.jpg;0; A group of woman and children are standing or sitting in front of rows of vegetables .;Un grupo de mujeres y niños están de pie o sentados delante de filas de verduras .;Un grupo de mujeres y niños están de pie o sentados delante de filas de verduras .
1027149103.jpg;0; A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm .;Una banda está tocando delante de un público y el cantante está usando una camisa naranja y tiene tatuajes en su brazo.;Una banda está tocando delante de un público y el cantante está usando una camisa naranja y tiene tatuajes en su brazo.
103195344.jpg;0; The man with the backpack is sitting in a buildings courtyard in front of an art sculpture reading .;El hombre con la mochila está sentado en un patio de edificios frente a una lectura de escultura de arte.;El hombre con la mochila está sentado en un patio de edificios frente a una lectura de escultura de arte.
103306033.jpg;0; A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller .;Una mujer que lleva un vestido marrón con un turbante a juego está empujando a un niño a través de un parque en su cochecito.;Una mujer que lleva un vestido marrón con un turbante a juego está empujando a un niño a través de un parque en su cochecito.
1042590306.jpg;0; A man is holding the hand of a woman up to his mouth in front of some buildings while another man looks on .;Un hombre está sosteniendo la mano de una mujer a la boca delante de algunos edificios mientras otro hombre mira.;Un hombre está sosteniendo la mano de una mujer a la boca delante de algunos edificios mientras otro hombre mira.
104700891.jpg;0; A man wearing a gray jacket and blue work pants is standing in a hole in the ground;Un hombre que lleva una chaqueta gris y pantalones de trabajo azules está de pie en un agujero en el suelo;Un hombre que lleva una chaqueta gris y pantalones de trabajo azules está de pie en un agujero en el suelo
1047921035.jpg;0; A man in a bandanna and a dirty t-shirt , and a woman in a graphic t-shirt , are standing next to a oblong hole with smoke coming out .;Un hombre en un pañuelo y una camiseta sucia, y una mujer en una camiseta gráfica, están de pie junto a un agujero oblongo con humo saliendo.;Un hombre en un pañuelo y una camiseta sucia, y una mujer en una camiseta gráfica, están de pie junto a un agujero oblongo con humo saliendo.
1051205546.jpg;0; Two women in colorful dresses are sweeping water out of the street while a man watches .;Dos mujeres en vestidos coloridos están barriendo el agua de la calle mientras un hombre observa.;Dos mujeres en vestidos coloridos están barriendo el agua de la calle mientras un hombre observa.
105223874.jpg;0; A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .;Un niño que lleva una camisa azul y sandalias jugando con un juguete rojo mientras se sienta en el suelo .;Un niño que lleva una camisa azul y sandalias jugando con un juguete rojo mientras se sienta en el suelo .
105342180.jpg;0; A girl paddling down a large river , as seen from behind her .;Una chica remando por un gran río, como se ve desde detrás de ella.;Una chica remando por un gran río, como se ve desde detrás de ella.
1056198351.jpg;0; A smiling little boy holds a hand mixer in a bowl .;Un niño sonriente sostiene una batidora de manos en un tazón.;Un niño sonriente sostiene una batidora de manos en un tazón.
1056338697.jpg;0; A woman with blond-hair wearing a blue tube top is waving on the side of the street .;Una mujer de pelo rubio con un top de tubo azul está saludando en el lado de la calle .;Una mujer de pelo rubio con un top de tubo azul está saludando en el lado de la calle .
1056359656.jpg;0; A young girl sits on a seat and looks at a train pamphlet .;Una joven se sienta en un asiento y mira un panfleto de tren.;Una joven se sienta en un asiento y mira un panfleto de tren.
1057089366.jpg;0; A kid jumps off the diving board and into the swimming pool below .;Un niño salta de la tabla de buceo y en la piscina de abajo.;Un niño salta de la tabla de buceo y en la piscina de abajo.
1057210460.jpg;0; A guy stands by a window taking his overshirt off .;Un tipo se para junto a una ventana quitándose la camiseta.;Un tipo se para junto a una ventana quitándose la camiseta.
106027774.jpg;0; It looks as though a soldier is sleeping in a car on his way home after a deployment .;Parece como si un soldado estuviera durmiendo en un coche de camino a casa después de un despliegue.;Parece como si un soldado estuviera durmiendo en un coche de camino a casa después de un despliegue.
1065323785.jpg;0; Kids riding on their bicycles near a mound of dirt with a hovel from a backhoe in front of the mound .;Los niños montan en sus bicicletas cerca de un montículo de tierra con una horca de una retroexcavadora en frente del montículo .;Los niños montan en sus bicicletas cerca de un montículo de tierra con una horca de una retroexcavadora en frente del montículo .
107368840.jpg;0; Two brunette women in jackets sitting against a wall and looking at the same magazine .;Dos morenas en chaquetas sentadas contra una pared y mirando la misma revista .;Dos morenas en chaquetas sentadas contra una pared y mirando la misma revista .
1075716537.jpg;0; A little boy rides a bike down a hill on a miniature dirt bike .;Un niño pequeño monta una bicicleta por una colina en una bicicleta de tierra en miniatura.;Un niño pequeño monta una bicicleta por una colina en una bicicleta de tierra en miniatura.
1077931201.jpg;0; A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .;Un hombre en el agua arrojando a un niño en el aire y esperando a que baje para poder atraparlo.;Un hombre en el agua arrojando a un niño en el aire y esperando a que baje para poder atraparlo.
107936523.jpg;0; A person with brown pants is sitting around a fenced area that has sparks flying .;Una persona con pantalones marrones está sentada alrededor de una zona cercada que tiene chispas volando.;Una persona con pantalones marrones está sentada alrededor de una zona cercada que tiene chispas volando.
1087539207.jpg;0; Several children playing on a Polaris vehicle outdoors .;Varios niños jugando en un vehículo Polaris al aire libre.;Varios niños jugando en un vehículo Polaris al aire libre.
1089181217.jpg;0; A light brown dog runs down a path happily .;Un perro marrón claro corre por un camino feliz.;Un perro marrón claro corre por un camino feliz.
109083036.jpg;0; Six males playing a game in the sand with wooden paddles .;Seis machos jugando un juego en la arena con paletas de madera.;Seis machos jugando un juego en la arena con paletas de madera.
1093716555.jpg;0; A group of hikers are resting on the ground in front of some mountains .;Un grupo de excursionistas están descansando en el suelo frente a algunas montañas.;Un grupo de excursionistas están descansando en el suelo frente a algunas montañas.
1094283901.jpg;0; A shirtless man jumping off a large concrete structure into a river with his friends watching from the structure .;Un hombre sin camisa saltando de una gran estructura de hormigón en un río con sus amigos mirando desde la estructura.;Un hombre sin camisa saltando de una gran estructura de hormigón en un río con sus amigos mirando desde la estructura.
109671650.jpg;0; A boy wearing blue and yellow walking on a cliff edge .;Un chico vestido de azul y amarillo caminando por un borde del acantilado.;Un chico vestido de azul y amarillo caminando por un borde del acantilado.
109738763.jpg;0; A snowmobile rider flies through the air on his or her machine in front of tall pine trees .;Un jinete de motos de nieve vuela por el aire en su máquina en frente de altos pinos.;Un jinete de motos de nieve vuela por el aire en su máquina en frente de altos pinos.
109738916.jpg;0; Two helmeted men sit on yellow snowmobiles while another man stands behind watching .;Dos hombres con casco se sientan en motos de nieve amarillas mientras otro hombre se queda mirando.;Dos hombres con casco se sientan en motos de nieve amarillas mientras otro hombre se queda mirando.
109823394.jpg;0; Three people on ATVs in a brown field turn their heads to look at the camera .;Tres personas en los ATVs en un campo marrón giran la cabeza para mirar a la cámara.;Tres personas en los ATVs en un campo marrón giran la cabeza para mirar a la cámara.
109982467.jpg;0; A mother and three children collecting garbage from a blue and white garbage can on the street .;Una madre y tres niños recogiendo basura de un cubo de basura azul y blanco en la calle.;Una madre y tres niños recogiendo basura de un cubo de basura azul y blanco en la calle.
1105959054.jpg;0; A young girl with braids is painting with water colors on a white paper on the wall .;Una joven con trenzas está pintando con colores de agua en un papel blanco en la pared.;Una joven con trenzas está pintando con colores de agua en un papel blanco en la pared.
110671448.jpg;0; A woman standing with 3 other people in a store with two tables , some shelves with coffee and tea for sale , and a refrigerated drink case .;Una mujer de pie con otras 3 personas en una tienda con dos mesas, algunos estantes con café y té para la venta, y una caja de bebida refrigerada.;Una mujer de pie con otras 3 personas en una tienda con dos mesas, algunos estantes con café y té para la venta, y una caja de bebida refrigerada.
111201721.jpg;0; A young boy in a yellow shirt is jumping in a grassy area with a younger boy , in a white shirt , standing behind him .;Un niño con camisa amarilla salta en una zona herbosa con un niño más joven, en una camisa blanca, de pie detrás de él.;Un niño con camisa amarilla salta en una zona herbosa con un niño más joven, en una camisa blanca, de pie detrás de él.
1119418776.jpg;0; A brown , black and white dog is running through a large field with its mouth open .;Un perro marrón, blanco y negro está corriendo a través de un campo grande con su boca abierta.;Un perro marrón, blanco y negro está corriendo a través de un campo grande con su boca abierta.
1122579380.jpg;0; A woman wearing a long white t-shirt walking knee deep in the ocean .;Una mujer que lleva una larga camiseta blanca caminando de rodillas en lo profundo del océano.;Una mujer que lleva una larga camiseta blanca caminando de rodillas en lo profundo del océano.
1128874064.jpg;0; A young girl sitting on a small chair surrounded by what looks like handmade fabrics and bags .;Una joven sentada en una pequeña silla rodeada de lo que parece telas y bolsas hechas a mano.;Una joven sentada en una pequeña silla rodeada de lo que parece telas y bolsas hechas a mano.
1129704496.jpg;0; A brown and white and a black and white dog hauling in a floating toy from the ocean .;Un perro marrón y blanco y un perro blanco y negro que se arrastran en un juguete flotante desde el océano.;Un perro marrón y blanco y un perro blanco y negro que se arrastran en un juguete flotante desde el océano.
1131889107.jpg;0; Roller derby girls waiting for the next round of action !;Chicas Roller derby esperando la próxima ronda de acción!;Chicas Roller derby esperando la próxima ronda de acción!
11338041.jpg;0; People waiting to enter a white building through an entry way with an orange handwritten sign to the left of it .;Personas esperando entrar en un edificio blanco a través de un camino de entrada con una señal manuscrita naranja a la izquierda de la misma.;Personas esperando entrar en un edificio blanco a través de un camino de entrada con una señal manuscrita naranja a la izquierda de la misma.
113637264.jpg;0; A man in a white shirt lays cement on a brick wall .;Un hombre con una camisa blanca pone cemento en una pared de ladrillo.;Un hombre con una camisa blanca pone cemento en una pared de ladrillo.
114052371.jpg;0; This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap .;Este es un adolescente o adulto joven con trenzas en el pelo sentado en una silla con una almohada amarilla en su regazo.;Este es un adolescente o adulto joven con trenzas en el pelo sentado en una silla con una almohada amarilla en su regazo.
1142847777.jpg;0; A woman in a blue helmet and brown shorts rides her bike on a busy street .;Una mujer en un casco azul y pantalones cortos marrones monta su bicicleta en una calle concurrida.;Una mujer en un casco azul y pantalones cortos marrones monta su bicicleta en una calle concurrida.
